x1      y1      x2      y2
Position_Real_X[mm]     FWHM[mm]        Position_Real_Y[mm]     FWHM[mm]
-0.23789        -0.0784373      -0.1    0.197649
-0.343683       14.1647         14.9    0.198072
-0.0762136      -15.874         -19.1   0.291472
0.712704        1.12299         1.9     0.704975
0.303286        -1.25221        -2.1    0.666215
13.4635         -13.8518        -14.1   0.331175
13.4266         0.787945        1.9     0.637631
15.6457         14.1578         14.9    0.17033
15.5306         -15.5667        -18.1   0.327824
15.596          0.872483        1.9     0.546554
-15.1921        14.233          14.9    0.168038
8.13887         1.21179         1.9     0.606337
8.56702         -6.21286        -7.1    0.610572
-8.85754        -4.23532        -4.1    0.566674
9.4055          -4.14732        -4.1    0.538834
